date,hemispherical,longitude,latitude,region,ndre_karet,lci_karet,ndre_gulma,lci_gulma,severity_level
15/06/22,IMG_4085_B,104.519243,-2.950142,2-gt1,0.18222909,0.2746815,0.24477987,0.36097145,2
15/06/22,IMG_4092_B,104.519402,-2.950152,2-gt1,0.17688517,0.27166763,0.24464604,0.3624802,2
15/06/22,IMG_4089_A,104.519363,-2.950461,2-gt1,0.18301363,0.26890016,0.2436631,0.3609737,3
15/06/22,IMG_4104_B,104.519585,-2.950155,2-gt1,0.19534874,0.2903542,0.2558859,0.37632024,3
15/06/22,IMG_4101_A,104.519516,-2.950467,2-gt1,0.19199903,0.2816856,0.24870865,0.36575034,3
15/06/22,IMG_4110_B,104.519413,-2.949913,2-gt1,0.17684765,0.25258654,0.2259617,0.33323842,3
15/06/22,IMG_4112_A,104.519769,-2.950432,2-gt1,0.18101542,0.2663481,0.23891732,0.356924,3
15/06/22,IMG_4129_A,104.519764,-2.950737,2-gt1,0.17898047,0.25949356,0.2222584,0.3284861,3
15/06/22,IMG_4119_B,104.519301,-2.949714,2-gt1,0.17158034,0.25176376,0.22637297,0.33419523,3
15/06/22,IMG_4135_A,104.519803,-2.950797,2-gt1,0.17868781,0.26196098,0.22405615,0.33336797,3
15/06/22,IMG_4126_B,104.519137,-2.949719,2-gt1,0.16703318,0.24238428,0.22090708,0.3268633,4
15/06/22,IMG_4148_A,104.519602,-2.950815,2-gt1,0.17278326,0.24864095,0.22377524,0.33289304,3
15/06/22,IMG_4134_B,104.519297,-2.949841,2-gt1,0.17273451,0.2477695,0.21710321,0.31948057,2
15/06/22,IMG_4162_A,104.519584,-2.950683,2-gt1,0.18579523,0.2743134,0.2365899,0.35022333,3
15/06/22,IMG_4173_A,104.519371,-2.950717,2-gt1,0.17711057,0.2558356,0.23066765,0.3374483,3
15/06/22,IMG_4145_B,104.519092,-2.949862,2-gt1,0.16817957,0.24152723,0.21474057,0.31922275,3
15/06/22,IMG_4188_A,104.519396,-2.950939,2-gt1,0.16863453,0.24242985,0.22658938,0.337166,3
15/06/22,IMG_4155_B,104.518974,-2.949704,2-gt1,0.1698104,0.23976095,0.21656676,0.31739482,4
